analysis_id,6m0084u45nn64l4
mouse_strain,B6J
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.2082752
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
gene_symbol,Nr0b2
