parameter_id,JAXLA_CSD_022_001
analysis_id,9r96368dq24447a
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
mouse_strain,C57BL
parameter_name,Hindlimbs - size
mouse_life_stage,Early adult
pvalue,0.2299418
