analysis_id,yiq6k7ji27adh71
gene_accession_id,MGI:109356
pvalue,0.5902853
mouse_life_stage,Early adult
parameter_id,MGP_IMM_017_001
gene_symbol,Snap23
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
