parameter_name,Neutrophils
pvalue,0.1787323
mouse_strain,C57BL
analysis_id,gnrxa77v38606p2
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
gene_symbol,Clvs1
parameter_id,IMPC_IMM_050_001
