parameter_name,lens
gene_accession_id,MGI:1915678
gene_symbol,Steap3
mouse_life_stage,Early adult
analysis_id,079e029r6r57q2y
parameter_id,M-G-P_014_001_009
pvalue,0.7682381
mouse_strain,C57BL
