analysis_id,7p54d6bhah74b8u
gene_symbol,Eprs1
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
pvalue,0.8418804
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_name,Effector CD4+ T helper cells - % of CD45+
