gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:88479
analysis_id,7p3z87m0u6dkh0o
pvalue,0.1785829
mouse_strain,C57BL
parameter_name,PQ
