parameter_name,Zygomatic bone
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7472116
parameter_id,IMPC_XRY_002_001
analysis_id,qj4s105c3803kwg
gene_accession_id,MGI:107566
gene_symbol,Kifap3
