mouse_strain,C57BL
analysis_id,64l40i55j33w0yb
gene_accession_id,MGI:2685277
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,E18.5
pvalue,0.7964328
parameter_id,MGP_MLN_021_001
gene_symbol,Zyg11b
