parameter_id,IMPC_GEL_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_name,Pericardium Morphology
mouse_strain,B6J
pvalue,0.3444478
analysis_id,09qcl373r8vo972
