analysis_id,h3t611ag80o3665
mouse_strain,C57BL
pvalue,0.05933658
parameter_name,Periphery average speed
mouse_life_stage,E9.5
gene_symbol,Ints7
parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:1924315
