pvalue,0.92275
gene_symbol,Dmap1
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,HRWLLA_GRS_010_001
analysis_id,a2sy4237fv63hu2
parameter_name,Forelimb grip strength normalised against body weight
