analysis_id,rn8oh2sc11329gg
pvalue,0.2787658
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_016_001
parameter_name,HDL-cholesterol
