gene_symbol,Cmpk1
analysis_id,78aj3sjd565jg2p
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.7455358
parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:1913838
