analysis_id,u1e2gz5gs25q875
pvalue,0.9717185
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_name,Fat/Body weight
mouse_life_stage,E15.5
parameter_id,IMPC_DXA_009_001
gene_symbol,Bmi1
