analysis_id,2444h939h80s581
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
gene_symbol,Alkbh3
pvalue,0.3043981
parameter_name,Eosinophils - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
