gene_symbol,Cntfr
analysis_id,95fi3955yy27h93
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.2650414
parameter_name,eye size
mouse_strain,129SV
