analysis_id,ukoi5337p27h5b2
gene_symbol,Fgb
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
pvalue,0.43964
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:99501
