mouse_strain,B6J
parameter_name,Latency to first transition into dark
mouse_life_stage,Early adult
pvalue,0.5071986
gene_symbol,Nr0b2
analysis_id,ru45o8zeob53o4w
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:1346344
