Gene_symbol,Fgb
Parameter_id,JAX_LDT_008_001
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
Pvalue,0.1078725
Mouse_strain,C57BL
Parameter_name,Percent time in dark
analysis_id,0jqs9il409ed6eu
