gene_symbol,Trp53rkb
mouse_strain,C57BL
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1914050
parameter_name,BMC/Body weight
analysis_id,d25c0lq34kyf9rr
pvalue,0.2352565
mouse_life_stage,Early adult
