gene_symbol,Bdh2
parameter_name,Average duration
mouse_strain,C57BL
pvalue,0.9353643
mouse_life_stage,Early adult
gene_accession_id,MGI:1917022
analysis_id,x066zkoq907a0le
parameter_id,JAX_ROT_002_001
