analysis_id,1h845569wi41123
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
parameter_id,MGP_PBI_002_001
pvalue,0.3774602
mouse_strain,C57BL
gene_symbol,Gfi1b
parameter_name,Alpha beta T cell percentage
