parameter_name,Fat/Body weight
gene_accession_id,MGI:2685277
pvalue,0.8614151
parameter_id,JAXLA_DXA_009_001
gene_symbol,Zyg11b
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,rbqh3775gg1vx31
