analysis_id,p7mjf2ucv3to58x
gene_symbol,Kifap3
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
parameter_id,GMC_906_001_005
mouse_strain,C57BL
pvalue,0.3796453
parameter_name,Potassium
