analysis_id,9jzhdn181ca4b78
gene_symbol,Golm2
mouse_life_stage,Early adult
pvalue,0.4014164
parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
parameter_name,eye size
gene_accession_id,MGI:2443129
