analysis_id,980i9sug40rsk70
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,Periphery permanence time
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
parameter_id,JAX_OFD_012_001
pvalue,0.8715407
