gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
pvalue,0.6103032
gene_accession_id,MGI:1913396
analysis_id,92wprxf323jm71i
parameter_name,Total NK cells - % of CD45+
