parameter_name,Fructosamine
mouse_life_stage,Late adult
analysis_id,4803h8qd37ld0ga
gene_accession_id,MGI:2441730
pvalue,0.1796279
mouse_strain,C57BL
parameter_id,IMPC_CBC_020_001
gene_symbol,Tbl1xr1
