gene_symbol,Bpifa3
analysis_id,5m12h0x5601g186
mouse_life_stage,Early adult
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:1920638
pvalue,0.6036182
parameter_id,IMPC_EYE_092_001
