analysis_id,076a3qosgl4borb
gene_symbol,Bcs1l
mouse_life_stage,E9.5
parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
pvalue,0.1682819
gene_accession_id,MGI:1914071
