parameter_name,Startle response
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
pvalue,0.2207761
parameter_id,MGP_CSD_008_001
mouse_strain,C57BL
gene_symbol,Sla2
analysis_id,x9258243r44jg6x
