gene_symbol,Maco1
parameter_id,UCDLA_EYE_017_001
analysis_id,ckqt1p67hx48c50
parameter_name,Lens Opacity
gene_accession_id,MGI:1913396
pvalue,0.9335663
mouse_strain,C57BL
mouse_life_stage,Early adult
