analysis_id,08vbx180f08t29g
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
pvalue,0.8649527
parameter_name,Tremor
