parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
mouse_strain,C57BL
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
analysis_id,pp3fnpaw405ax47
pvalue,0.2489312
mouse_life_stage,Early adult
