analysis_id,943o40556tiq777
parameter_name,Hindlimb nail - number
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
pvalue,0.3597868
mouse_life_stage,Middle aged adult
