parameter_id,IMPC_CBC_011_001
analysis_id,2nbq1b9k82xoghl
mouse_strain,B6J
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.6975786
parameter_name,Iron
