analysis_id,yan304g6xf8400f
pvalue,0.4785174
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
