gene_symbol,Fam163a
mouse_strain,C57BL
pvalue,0.9146218
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:3618859
analysis_id,uz908ig14x93zv3
parameter_name,CV
