analysis_id,70ntcc95urr5f9l
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.1999536
mouse_life_stage,E15.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,IMPC_GRS_011_001
