parameter_id,HMGULA_CBC_005_001
pvalue,0.2760022
mouse_life_stage,Early adult
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Creatinine
analysis_id,wo23hx06f3pg5z4
mouse_strain,C57BL
