gene_symbol,Dnajc5b
analysis_id,4q5567g3z070q47
mouse_strain,C57BL
pvalue,1.303995
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_name,Others
parameter_id,IMPC_IMM_006_001
