parameter_name,NK Subsets (Q2)
pvalue,0.1727987
gene_symbol,Ints7
mouse_life_stage,Early adult
analysis_id,mp508sz4qate96l
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
