gene_symbol,Bmp7
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4201123
parameter_name,HR
analysis_id,y9083rofu9im4n7
gene_accession_id,MGI:103302
