gene_symbol,Zc2hc1a
pvalue,0.8723515
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:1914556
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,s50qqfu07yp23b4
