analysis_id,0k31h4yfp1m94b1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
pvalue,0.1546943
gene_symbol,Cntfr
