parameter_name,Femur
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
gene_symbol,Rnf114
pvalue,0.7420916
mouse_strain,C57BL
analysis_id,g51kjpmpt1395ab
