analysis_id,81425ve3go467oy
gene_symbol,Ints7
mouse_life_stage,E9.5
pvalue,0.2413696
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
