mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
gene_symbol,Cd52
mouse_strain,C57BL
analysis_id,k1nm18d9426036g
pvalue,0.3226458
parameter_id,ESLIM_011_001_702
parameter_name,Prepulse inhibition - PP2
