analysis_id,6759y9x147w09d2
mouse_life_stage,Early adult
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.5056338
gene_accession_id,MGI:2444554
