analysis_id,6g7o426v714ft82
mouse_life_stage,Early adult
parameter_name,Platelet count
mouse_strain,C57BL
gene_accession_id,MGI:1925049
pvalue,0.2301286
gene_symbol,Sla2
parameter_id,IMPC_HEM_008_001
