parameter_name,Total holepokes
gene_symbol,Trpa1
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:3522699
mouse_strain,C57BL
pvalue,0.9318811
mouse_life_stage,Early adult
analysis_id,qff0q5t9420832v
