parameter_name,Periphery permanence time
pvalue,0.8504055
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Golm2
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:2443129
analysis_id,y01ri6g1421644r
