gene_symbol,Il1r1
pvalue,0.3126354
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:96545
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,d3tdm579a91r051
parameter_id,IMPC_HEM_039_001
