analysis_id,4183620x5htexo5
Mouse_strain,C57BL
Gene_accession_id,MGI:2685266
parameter_name,Thoracic processes
Pvalue,0.1343978
Parameter_id,IMPC_XRY_064_001
mouse_life_stage,Early adult
Gene_symbol,Pglyrp3
