analysis_id,7ji347vms23s22p
pvalue,0.8683153
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
