gene_symbol,Gfi1b
pvalue,0.3722391
mouse_life_stage,Early adult
analysis_id,5f6e9sv4ii745z8
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
gene_accession_id,MGI:1276578
