parameter_name,Limb grasp
mouse_strain,C57BL
analysis_id,6k21un7sqe580f0
mouse_life_stage,E18.5
gene_symbol,Zyg11b
pvalue,0.7942361
parameter_id,IMPC_CSD_039_001
gene_accession_id,MGI:2685277
