parameter_name,Prepulse inhibition - PP3
parameter_id,ESLIM_011_001_703
pvalue,0.6562589
gene_accession_id,MGI:1917810
mouse_strain,C57BL
analysis_id,hj074l258749bka
mouse_life_stage,Early adult
gene_symbol,Wars2
