gene_symbol,Psmd14
gene_accession_id,MGI:1913284
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
parameter_name,HRV
analysis_id,d235m2m98l9999p
pvalue,0.5495244
