analysis_id,880bs8x3k62f50z
gene_accession_id,MGI:2446274
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
pvalue,0.7542605
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_name,LDL-cholesterol
