analysis_id,j5v40znh973yid3
mouse_strain,C57BL
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
pvalue,0.5885711
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_026_001
mouse_life_stage,Early adult
