gene_symbol,Lurap1
mouse_strain,C57BL
analysis_id,339zzkjbk2a3or7
mouse_life_stage,Early adult
parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:1915325
pvalue,0.3689324
