gene_symbol,Cdin1
parameter_id,JAXLA_HBD_001_001
pvalue,0.3781335
gene_accession_id,MGI:3026886
analysis_id,6a93h20jsdt71lo
mouse_life_stage,Early adult
parameter_name,Total holepokes
mouse_strain,C57BL
